name,description,neighborhood_overview,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price
"Viennaflat top: spacious, bright and in the center","The apartment Naschmarkt top is a beautiful and spacious flat with 2,5 bedrooms in a calm neighborhood close to the famous Naschmarkt, Vienna's most popular market place with a lot of nice restaurants.<br /><br />The historic city center can be reached quickly: by foot it is a 10-15 minutes walk and with the metro you are even faster. The apartment is therefore the ideal base for singles, couples, families and smaller groups to discover the beautiful city of Vienna.",,Margareten,48.19469,16.35963,Entire rental unit,Entire home/apt,7,1.5,1.5 baths,3.0,4.0,"[""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Dedicated workspace"", ""Long term stays allowed"", ""Crib"", ""Dishes and silverware"", ""Self check-in"", ""Paid parking on premises"", ""Hair dryer"", ""Iron"", ""Oven"", ""Cooking basics"", ""TV with standard cable"", ""Microwave"", ""Luggage dropoff allowed"", ""High chair"", ""Washer"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Pets allowed"", ""Lockbox"", ""Heating"", ""Dishwasher""]",$138.00
Central Cosy Suite in Vienna's Karmeliterviertel,"We offer a cozy apartment near Vienna's city center, featuring two Super King Size beds (200 x 210 cm) on a double bunk bed in one bedroom. The apartment includes a fully equipped kitchen with a dining area and a comfortable couch.",,Leopoldstadt,48.21664,16.37842,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Coffee maker: espresso machine"", ""Shower gel"", ""Cleaning products"", ""Standalone high chair - available upon request"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Hair dryer"", ""Books and reading material"", ""Room-darkening shades"", ""Central heating"", ""Oven"", ""JBL Bluetooth sound system"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hangers"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Clothing storage"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Wifi \u2013 15 Mbps"", ""Shared patio or balcony"", ""Extra pillows and blankets"", ""Shared backyard \u2013 Fully fenced"", ""Electric stove"", ""Drying rack for clothing"", ""Paid parking garage off premises"", ""Essentials"", ""Lockbox"", ""Dishwasher""]",$82.00
Sunny Apartment Roofterrace (#2),"Our bright apartment with its own terrace overlooking the green inner court yard offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.",In the vicinity of the apartment you will find numerous shops and good restaurants. You can therefore enjoy Viennese and international delicacies in a relaxed manner.,Hernals,48.22356,16.31781,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Coffee maker"", ""Cleaning products"", ""Bathtub"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Central air conditioning"", ""Private entrance"", ""Courtyard view"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Private patio or balcony"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Clothing storage: closet"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$109.00
Cozy Apartment in the attic (#3),"Our cozy apartment in the attic offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22353,16.31773,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Clothing storage: closet, wardrobe, and dresser"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Central air conditioning"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$120.00
Cozy Studio for 2 persons (#4),"Our small but fine studio offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22356,16.31781,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Backyard"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Central air conditioning"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Clothing storage: closet and dresser"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""Carbon monoxide alarm"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$89.00
Comfortable Apartement for 2 (#5),"Our small but beautiful apartment offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22356,16.31781,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Clothing storage: closet"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$84.00
Comfortable Apartment for 2 (#6),"Our comfy apartment for 2 offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22356,16.31781,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""Clothing storage: closet and dresser"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$93.00
Roomy Apartment for 4 persons (#7),"Plenty of room for all your travel plans, whether with family or friends, this 2 bedroom apartment can accommodate 4 people. Many shopping facilities, restaurants and public transport around the corner ensure a comfortable vacation.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22356,16.31781,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Smoke alarm"", ""Clothing storage: closet, wardrobe, and dresser"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Dryer"", ""Dedicated workspace"", ""Backyard"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$147.00
Apartment with elegant charme (#8),"Our elegant, fully equipped apartment offers you a comfy temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22356,16.31781,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cleaning products"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Oven"", ""Cooking basics"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""TV"", ""Toaster"", ""Crib - available upon request"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Clothing storage: wardrobe and dresser"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Shared backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Essentials"", ""Single level home"", ""Carbon monoxide alarm"", ""EV charger"", ""Safe"", ""Heating"", ""Dishwasher"", ""Free washer \u2013 In building""]",$147.00
Studio with Garden for 2 (#H03),"Our comfy studio with its own terrace and garden offers you a temporary home in Vienna. Many shops, restaurants and public transport around the corner create the ideal base for a relaxing and comfortable holiday.","Around our site you will find numerous shops and restaurants. So you do not have to cook by yourself, but can explore Viennese and international delights.",Hernals,48.22509,16.31632,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Smoke alarm"", ""Clothing storage: closet, wardrobe, and dresser"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor dining area"", ""Coffee maker"", ""Cleaning products"", ""Bathtub"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hot water kettle"", ""Paid parking on premises"", ""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Private entrance"", ""Courtyard view"", ""Cooking basics"", ""TV with standard cable"", ""Laundromat nearby"", ""Microwave"", ""Private patio or balcony"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Wine glasses"", ""High chair"", ""Hangers"", ""Washer"", ""Wifi"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Host greets you"", ""First aid kit"", ""Refrigerator"", ""Dining table"", ""Kitchen"", ""Paid dryer \u2013 In building"", ""Elevator"", ""Portable fans"", ""Body soap"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Ethernet connection"", ""Essentials"", ""Single level home"", ""Heating"", ""Dishwasher"", ""EV charger"", ""Private backyard \u2013 Fully fenced""]",$93.00
